"","Position","Height","Playtype","Name","Rating","Team"
"1702","PG / SG","6'3""","Offensive Threat","Rod Strickland",87,"All-Time Washington Wizards"
"1703","SF","6'7""","2-Way Point Forward","Bernard King",87,"All-Time Washington Wizards"
"1704","PG / SG","6'3""","2-Way 3-Level Scorer","Don Ohl",87,"All-Time Washington Wizards"
"1705","C / PF","6'10""","Inside the Arc Glass Cleaner","Jeff Ruland",87,"All-Time Washington Wizards"
"1706","PF / SF","6'8""","2-Way 3-Level Scorer","Antawn Jamison",87,"All-Time Washington Wizards"
"1707","SG / SF","6'4""","Inside the Arc Scorer","Jeff Malone",86,"All-Time Washington Wizards"
"1708","SF / SG","6'7""","2-Way 3-Level Point Forward","Jack Marin",86,"All-Time Washington Wizards"
"1709","SF / PF","6'8""","All-Around 2-Way","LeBron James",99,"All-Decade 2010s All-Stars"
"1710","PG","6'0""","All-Around 2-Way","Chris Paul",98,"All-Decade 2010s All-Stars"
"1711","PG","6'3""","All-Around 2-Way","Stephen Curry",97,"All-Decade 2010s All-Stars"
"1712","SF / PF","6'9""","Scoring Machine","Kevin Durant",97,"All-Decade 2010s All-Stars"
"1713","SG","6'4""","2-Way Slashing Playmaker","Dwyane Wade",97,"All-Decade 2010s All-Stars"
"1714","SF / SG","6'11""","2-Way Slashing Playmaker","Giannis Antetokounmpo",97,"All-Decade 2010s All-Stars"
"1715","SF / PF","6'7""","2-Way Scoring Machine","Kawhi Leonard",96,"All-Decade 2010s All-Stars"
"1716","SG / PG","6'5""","Offensive Threat","James Harden",96,"All-Decade 2010s All-Stars"
"1717","PG","6'3""","Slashing Playmaker","Derrick Rose",95,"All-Decade 2010s All-Stars"
"1718","PG","6'3""","2-Way Slashing Playmaker","Russell Westbrook",95,"All-Decade 2010s All-Stars"
"1719","SF / PF","6'8""","Scoring Machine","Carmelo Anthony",95,"All-Decade 2010s All-Stars"
"1720","C / PF","6'10""","Paint Beast","Anthony Davis",94,"All-Decade 2010s All-Stars"
"1721","C","6'11""","Paint Beast","Dwight Howard",94,"All-Decade 2010s All-Stars"
"1722","PF / C","6'11""","2-Way Mid-Range Finisher","Tim Duncan",99,"All-Decade 2000s All-Stars"
"1723","PF / C","6'11""","2-Way Mid-Range Finisher","Kevin Garnett",99,"All-Decade 2000s All-Stars"
"1724","SF / PF","6'8""","All-Around 2-Way","LeBron James",99,"All-Decade 2000s All-Stars"
"1725","PF / C","7'1""","2-Way 3-Level Scorer","Dirk Nowitzki",99,"All-Decade 2000s All-Stars"
"1726","SG / SF","6'6""","All-Around 2-Way","Kobe Bryant",98,"All-Decade 2000s All-Stars"
"1727","C / PF","7'1""","Paint Beast","Shaquille O’Neal",98,"All-Decade 2000s All-Stars"
"1728","SG / PG","6'0""","All-Around 2-Way","Allen Iverson",97,"All-Decade 2000s All-Stars"
"1729","PG","6'3""","All-Around 2-Way","Steve Nash",97,"All-Decade 2000s All-Stars"
"1730","SG","6'4""","2-Way Slashing Playmaker","Dwyane Wade",97,"All-Decade 2000s All-Stars"
"1731","SF / SG","6'6""","2-Way Scoring Machine","Vince Carter",96,"All-Decade 2000s All-Stars"
"1732","SG / PG","6'8""","All-Around 2-Way","Tracy McGrady",95,"All-Decade 2000s All-Stars"
"1733","SF / PF","6'7""","2-Way Scoring Machine","Paul Pierce",94,"All-Decade 2000s All-Stars"
"1734","C","7'6""","2-Way Mid-Range Finisher","Yao Ming",91,"All-Decade 2000s All-Stars"
"1735","SG / SF","6'6""","All-Around 2-Way","Michael Jordan",99,"All-Decade 1990s All-Stars"
"1736","C / PF","7'0""","2-Way Mid-Range Finisher","Hakeem Olajuwon",98,"All-Decade 1990s All-Stars"
"1737","PG / SG","6'1""","All-Around 2-Way","John Stockton",97,"All-Decade 1990s All-Stars"
"1738","PF / C","6'9""","2-Way 3-Level Scorer","Karl Malone",97,"All-Decade 1990s All-Stars"
"1739","SF / SG","6'8""","2-Way Slashing Playmaker","Scottie Pippen",97,"All-Decade 1990s All-Stars"
"1740","C / PF","7'1""","2-Way Mid-Range Finisher","David Robinson",97,"All-Decade 1990s All-Stars"
"1741","SG / SF","6'7""","2-Way Slashing Playmaker","Clyde Drexler",96,"All-Decade 1990s All-Stars"
"1742","PG / SG","6'4""","All-Around 2-Way","Gary Payton",95,"All-Decade 1990s All-Stars"
"1743","PG / SG","6'7""","All-Around 2-Way","Penny Hardaway",95,"All-Decade 1990s All-Stars"
"1744","C / PF","7'0""","2-Way Mid-Range Finisher","Patrick Ewing",95,"All-Decade 1990s All-Stars"
"1745","C / PF","6'10""","2-Way Mid-Range Finisher","Alonzo Mourning",94,"All-Decade 1990s All-Stars"
"1746","C / PF","7'1""","Paint Beast","Shaquille O’Neal",93,"All-Decade 1990s All-Stars"
"1747","SF / SG","6'8""","2-Way Slashing Playmaker","Grant Hill",93,"All-Decade 1990s All-Stars"
"1748","SG / SF","6'6""","Slashing Playmaker","Michael Jordan",99,"All-Decade 1980s All-Stars"
"1749","PG / SG","6'9""","All-Around Threat","Magic Johnson",99,"All-Decade 1980s All-Stars"
"1750","SF / PF","6'9""","2-Way 3-Level Facilitator","Larry Bird",98,"All-Decade 1980s All-Stars"
"1751","C / PF","6'10""","Paint Beast","Moses Malone",98,"All-Decade 1980s All-Stars"
"1752","C / PF","7'2""","2-Way Mid-Range Finisher","Kareem Abdul-Jabbar",97,"All-Decade 1980s All-Stars"
"1753","C / PF","7'0""","2-Way Mid-Range Finisher","Hakeem Olajuwon",97,"All-Decade 1980s All-Stars"
"1754","PG / SG","6'1""","2-Way Slashing Playmaker","Isiah Thomas",96,"All-Decade 1980s All-Stars"
"1755","SF / PF","6'9""","2-Way 3-Level Scorer","James Worthy",96,"All-Decade 1980s All-Stars"
"1756","PF / C","6'10""","2-Way 3-Level Scorer","Kevin McHale",96,"All-Decade 1980s All-Stars"
"1757","SF / SG","6'7""","2-Way Slasher","Dominique Wilkins",96,"All-Decade 1980s All-Stars"
"1758","SF / SG","6'7""","2-Way Scoring Machine","George Gervin",95,"All-Decade 1980s All-Stars"
"1759","SF / SG","6'7""","2-Way Slasher","Julius Erving",94,"All-Decade 1980s All-Stars"
"1760","SF","6'5""","2-Way Slashing Playmaker","Adrian Dantley",92,"All-Decade 1980s All-Stars"
"1761","SF / SG","6'6""","NYK","R.J. Barrett",82,"Team World"
"1762","PF / C","6'8""","MEM","Brandon Clarke",78,"Team World"
"1763","PF / C","6'11""","ORL","Moritz Wagner",78,"Team World"
"1764","SF / PF","6'4""","PHX","Josh Okogie",78,"Team World"
"1765","PF / SF","6'8""","LAL","Rui Hachimura",76,"Team World"
"1766","SG / SF","6'7""","CHA","Sviatoslav Mykhailiuk",74,"Team World"
"1767","SG / PG","6'5""","MIN","Nickeil Alexander-Walker",74,"Team World"
"1768","C / PF","7'2""","2-Way Mid-Range Finisher","Kareem Abdul-Jabbar",99,"All-Decade 1970s All-Stars"
"1769","SF / SG","6'7""","2-Way Scoring Machine","Julius Erving",97,"All-Decade 1970s All-Stars"
"1770","PG / SG","6'4""","2-Way Slashing Playmaker","Walt Frazier",97,"All-Decade 1970s All-Stars"
"1771","SF / SG","6'5""","All-Around 2-Way","John Havlicek",97,"All-Decade 1970s All-Stars"
"1772","C / PF","6'11""","2-Way Mid-Range Maestro","Bill Walton",96,"All-Decade 1970s All-Stars"
"1773","C / PF","6'9""","2-Way Mid-Range Finisher","Dave Cowens",96,"All-Decade 1970s All-Stars"
"1774","PF / C","6'9""","Paint Beast","Elvin Hayes",95,"All-Decade 1970s All-Stars"
"1775","SG / PG","6'5""","Offensive Threat","Pete Maravich",95,"All-Decade 1970s All-Stars"
"1776","SF / PF","6'7""","2-Way Slashing Playmaker","Rick Barry",95,"All-Decade 1970s All-Stars"
"1777","C / PF","6'9""","2-Way Mid-Range Finisher","Bob McAdoo",95,"All-Decade 1970s All-Stars"
"1778","PG","6'3""","2-Way Slashing Playmaker","Jo Jo White",94,"All-Decade 1970s All-Stars"
"1779","C","7'2""","Paint Beast","Artis Gilmore",94,"All-Decade 1970s All-Stars"
"1780","C","6'11""","2-Way Mid-Range Finisher","Bob Lanier",94,"All-Decade 1970s All-Stars"
"1781","PG","6'1""","ATL","Trae Young",89,"Team USA"
"1782","PF / SF","6'7""","Free Agent","Miles Bridges",83,"Team USA"
"1783","SG / PG","6'2""","UTA","Collin Sexton",81,"Team USA"
"1784","PF / C","6'7""","CHA","P.J. Washington",77,"Team USA"
"1785","PG / SG","6'1""","SAS","Devonte’ Graham",76,"Team USA"
"1786","PF / C","6'6""","Free Agent","Eric Paschall",75,"Team USA"
"1787","PG / SG","6'3""","WAS","Kendrick Nunn",75,"Team USA"
"1788","C / PF","6'10""","Paint Beast","Bill Russell",99,"All-Decade 1960s All-Stars"
"1789","C / PF","7'1""","Paint Beast","Wilt Chamberlain",99,"All-Decade 1960s All-Stars"
"1790","PG / SG","6'5""","All-Around 2-Way","Oscar Robertson",98,"All-Decade 1960s All-Stars"
"1791","PG / SG","6'2""","All-Around 2-Way","Jerry West",98,"All-Decade 1960s All-Stars"
"1792","PG","6'1""","All-Around 2-Way","Bob Cousy",97,"All-Decade 1960s All-Stars"
"1793","SF / PF","6'5""","2-Way Scoring Machine","Elgin Baylor",97,"All-Decade 1960s All-Stars"
"1794","PF / C","6'9""","2-Way 3-Level Scorer","Bob Pettit",96,"All-Decade 1960s All-Stars"
"1795","PF / C","6'8""","2-Way 3-Level Scorer","Jerry Lucas",96,"All-Decade 1960s All-Stars"
"1796","C","6'10""","2-Way 3-Level Scorer","George Mikan",95,"All-Decade 1960s All-Stars"
"1797","C / PF","6'9""","2-Way Mid-Range Finisher","Willis Reed",94,"All-Decade 1960s All-Stars"
"1798","SG / SF","6'4""","2-Way 3-Level Facilitator","Sam Jones",93,"All-Decade 1960s All-Stars"
"1799","SG / PG","6'4""","2-Way Scoring Machine","Richie Guerin",93,"All-Decade 1960s All-Stars"
"1800","PG","6'1""","All-Around 2-Way","Lenny Wilkens",91,"All-Decade 1960s All-Stars"
"1801","SF / PF","6'9""","USA","Kevin Durant",96,"2016 USA Basketball"
"1802","SG / SF","6'7""","USA","Klay Thompson",93,"2016 USA Basketball"
"1803","SF","6'9""","USA","Paul George",93,"2016 USA Basketball"
"1804","PG / SG","6'3""","USA","Kyrie Irving",92,"2016 USA Basketball"
"1805","SG / SF","6'7""","USA","Jimmy Butler",91,"2016 USA Basketball"
"1806","C / PF","6'11""","USA","DeMarcus Cousins",91,"2016 USA Basketball"
"1807","SG / SF","6'7""","USA","DeMar DeRozan",89,"2016 USA Basketball"
"1808","PF / C","6'7""","USA","Draymond Green",89,"2016 USA Basketball"
"1809","SF / PF","6'8""","USA","Carmelo Anthony",87,"2016 USA Basketball"
"1810","C","6'11""","USA","DeAndre Jordan",87,"2016 USA Basketball"
"1811","PG","6'0""","USA","Kyle Lowry",86,"2016 USA Basketball"
"1812","SF / PF","6'8""","USA","Harrison Barnes",81,"2016 USA Basketball"
"1813","SF / PF","6'8""","USA","LeBron James",99,"2012 USA Basketball"
"1814","SF / PF","6'9""","USA","Kevin Durant",97,"2012 USA Basketball"
"1815","SG / SF","6'6""","USA","Kobe Bryant",96,"2012 USA Basketball"
"1816","PG","6'0""","USA","Chris Paul",94,"2012 USA Basketball"
"1817","SF / PF","6'8""","USA","Carmelo Anthony",91,"2012 USA Basketball"
"1818","PG","6'3""","USA","Russell Westbrook",90,"2012 USA Basketball"
"1819","SG","6'5""","USA","James Harden",87,"2012 USA Basketball"
"1820","SF / PF","6'6""","USA","Andre Iguodala",87,"2012 USA Basketball"
"1821","PF / C","6'10""","USA","Kevin Love",86,"2012 USA Basketball"
"1822","C / PF","6'10""","USA","Anthony Davis",83,"2012 USA Basketball"
"1823","PG / SF","6'7""","DAL","Luka Doncic",97,"Team LeBron"
"1824","SF / PG","6'9""","LAL","LeBron James",97,"Team LeBron"
"1825","C","6'11""","DEN","Nikola Jokic",97,"Team LeBron"
"1826","C","7'0""","PHI","Joel Embiid",97,"Team LeBron"
"1827","PG / SG","6'2""","GSW","Stephen Curry",96,"Team LeBron"
"1828","PF / C","6'6""","NOP","Zion Williamson",92,"Team LeBron"
"1829","PG / SG","6'2""","DAL","Kyrie Irving",91,"Team LeBron"
"1830","SG / SF","6'6""","BOS","Jaylen Brown",90,"Team LeBron"
"1831","SF / SG","6'8""","LAC","Paul George",89,"Team LeBron"
"1832","PG","6'3""","SAC","De’Aaron Fox",89,"Team LeBron"
"1833","SG / PG","6'5""","IND","Tyrese Haliburton",89,"Team LeBron"
"1834","PF / C","6'8""","NYK","Julius Randle",87,"Team LeBron"
"1835","PF / C","6'10""","MEM","Jaren Jackson Jr.",87,"Team LeBron"
"1836","SG / SF","6'4""","MIN","Anthony Edwards",86,"Team LeBron"
"1837","PF / C","7'0""","MIL","Giannis Antetokounmpo",97,"Team Antetokounmpo"
"1838","PF / SF","6'10""","PHX","Kevin Durant",96,"Team Antetokounmpo"
"1839","PF / SF","6'8""","BOS","Jayson Tatum",95,"Team Antetokounmpo"
"1840","PG","6'2""","POR","Damian Lillard",95,"Team Antetokounmpo"
"1841","PG / SG","6'6""","OKC","Shai Gilgeous-Alexander",94,"Team Antetokounmpo"
"1842","PG","6'3""","MEM","Ja Morant",92,"Team Antetokounmpo"
"1843","SG / PG","6'1""","CLE","Donovan Mitchell",92,"Team Antetokounmpo"
"1844","PF / C","7'1""","SAC","Domantas Sabonis",89,"Team Antetokounmpo"
"1845","PG / SG","6'5""","MIL","Jrue Holiday",88,"Team Antetokounmpo"
"1846","SG / SF","6'6""","CHI","DeMar DeRozan",87,"Team Antetokounmpo"
"1847","C","6'9""","MIA","Bam Adebayo",87,"Team Antetokounmpo"
"1848","PF / C","6'8""","TOR","Pascal Siakam",87,"Team Antetokounmpo"
"1849","PF / SF","7'0""","UTA","Lauri Markkanen",86,"Team Antetokounmpo"
"1850","SF / PF","6'10""","ORL","Franz Wagner",84,"Team Deron"
"1851","C","7'0""","UTA","Walker Kessler",83,"Team Deron"
"1852","C / PF","6'11""","HOU","Alperen Sengun",83,"Team Deron"
"1853","PF / SF","6'8""","NOP","Trey Murphy",80,"Team Deron"
"1854","SG / PG","6'2""","LAC","Bones Hyland",77,"Team Deron"
"1855","SF","6'6""","ATL","AJ Griffin",76,"Team Deron"
"1856","PG / SG","6'5""","CHI","Ayo Dosunmu",74,"Team Deron"
"1857","PF","6'6""","MEM","Kenneth Lofton Jr.",72,"Team Jason"
"1858","PG","6'2""","PHI","Mac McClung",69,"Team Jason"
"1859","PG","6'1""","LAL","Scotty Pippen Jr.",68,"Team Jason"
"1860","PF / C","6'11""","CLE","Evan Mobley",86,"Team Joakim"
"1861","SG / PG","6'8""","OKC","Josh Giddey",84,"Team Joakim"
"1862","SG","6'5""","OKC","Jalen Williams",82,"Team Joakim"
"1863","PF","6'11""","HOU","Jabari Smith Jr.",79,"Team Joakim"
"1864","SF / PF","6'8""","HOU","Tari Eason",79,"Team Joakim"
"1865","PF","6'8""","SAS","Jeremy Sochan",78,"Team Joakim"
"1866","SG / SF","6'5""","NYK","Quentin Grimes",78,"Team Joakim"
"1867","PF","6'10""","ORL","Paolo Banchero",84,"Team Pau"
"1868","PF / SF","6'8""","TOR","Scottie Barnes",83,"Team Pau"
"1869","PG / SG","6'4""","DET","Jaden Ivey",81,"Team Pau"
"1870","SF / PF","6'8""","SAC","Keegan Murray",79,"Team Pau"
"1871","SG / SF","6'5""","IND","Bennedict Mathurin",79,"Team Pau"
"1872","PG","6'3""","IND","Andrew Nembhard",77,"Team Pau"
"1873","PG","6'0""","NOP","Jose Alvarado",77,"Team Pau"
